"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431706.189","4586298.517","431614.247","4586097.545","2.181609","41.423528","METRO (L5) - CONGRÉS-",9,62,"Sant Andreu","el Congrés i els Indians",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429037.312","4580953.926","428945.393","4580753.004","2.150301","41.37516","METRO (L3) - ESPANYA-",2,10,"Eixample","Sant Antoni",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434657.435","4587420.525","434565.466","4587219.541","2.216803","41.433879","METRO (L2) - ARTIGUES-SANT ADRIÀ-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429574.375","4586528.855","429482.453","4586327.881","2.156073","41.425418","METRO (L5) - EL CARMEL (Pl. de Pastrana)-",7,37,"Horta-Guinardó","el Carmel",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","423526.988","4579692.061","423435.119","4579491.152","2.084574","41.36329","METRO (L5) - SANT ILDEFONS-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","423046.185","4579077.342","422954.321","4578876.439","2.078904","41.357707","METRO (L5) - GAVARRA-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433344.251","4585831.442","433252.294","4585630.473","2.201262","41.419459","METRO (L2) - SANT MARTÍ (Rambla Guipúscoa)-",10,72,"Sant Martí","Sant Martí de Provençals",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432456.979","4588581.605","432365.031","4588380.611","2.190338","41.444154","METRO (L1) - TORRAS I BAGES (Pg. de Torras i Bages)-",9,60,"Sant Andreu","Sant Andreu",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430493.499","4587064.099","430401.568","4586863.12","2.16701","41.430319","METRO (L5) - VILAPICINA (Pg. de Fabra i Puig)-",8,44,"Nou Barris","Vilapicina i la Torre Llobeta",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430337.852","4582738.983","430245.921","4582538.044","2.165646","41.391351","METRO (L3) - PASSEIG DE GRÀCIA (C. del Consell de Cent)-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","424817.382","4580598.85","424725.502","4580397.932","2.099888","41.371578","METRO (L5) - CAN VIDALET-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430506.186","4582544.619","430414.254","4582343.682","2.167682","41.389615","METRO (L4) - PASSEIG DE GRÀCIA-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431845.174","4589154.73","431753.231","4588953.731","2.18295","41.449264","METRO (L3,L4,L11) - TRINITAT NOVA (Pedrosa)-",8,53,"Nou Barris","la Trinitat Nova",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","433743.169","4586273.27","433651.208","4586072.297","2.205987","41.423471","METRO (L2,L4) - LA PAU (L2 i L4) (Rambla de Guipúscoa)-",10,73,"Sant Martí","la Verneda i la Pau",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431082.501","4585469.104","430990.564","4585268.14","2.174241","41.416004","METRO (L4) - HOSPITAL DE SANT PAU-GUINARDÓ (C. del Mas Casanovas)-",7,35,"Horta-Guinardó","el Guinardó",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428616.843","4581362.79","428524.928","4581161.864","2.145225","41.378805","METRO (L3) - TARRAGONA (C. de Tarragona)-",2,9,"Eixample","la Nova Esquerra de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428552.58","4581368.633","428460.665","4581167.707","2.144456","41.378852","METRO (L3) - TARRAGONA (C. del Elisi)-",3,15,"Sants-Montjuïc","Hostafrancs",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430777.334","4583120.23","430685.399","4582919.287","2.170859","41.394823","METRO (L4) - GIRONA (C. Consell de Cent)-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431948.599","4589159.027","431856.655","4588958.028","2.184187","41.449312","METRO (L3) - TRINITAT NOVA (Chafarinas)-",8,53,"Nou Barris","la Trinitat Nova",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430450.943","4588344.22","430359.013","4588143.229","2.166353","41.441845","METRO (L3) - CANYELLES (Parc de Josep Maria Serra Martí)-",8,49,"Nou Barris","Canyelles",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434110.5","4588576.5","434018.536","4588375.506","2.210131","41.444246","METRO (L9 nord) - CAN PEIXAUET-",,,,,,
"K011","Transports i serveis relacionats","Tramvia","435983.75","4588011.049","435891.769","4587810.06","2.232613","41.439305","TRAMVIA (T5) - GORG-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432119.919","4586127.362","432027.973","4585926.391","2.186579","41.422021","METRO (L5) - LA SAGRERA (Av. Meridiana)-",9,61,"Sant Andreu","la Sagrera",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432145.985","4586075.455","432054.039","4585874.485","2.186897","41.421556","METRO (L5) - LA SAGRERA-",9,61,"Sant Andreu","la Sagrera",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428431.962","4583565.877","428340.049","4583364.931","2.142754","41.398631","FGC (L6) - MUNTANER-",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","431657.677","4590259.027","431565.736","4590058.018","2.18058","41.459194","METRO (L11) - TORRE BARÓ - VALLBONA (C. Esculapi Càncer)-",8,54,"Nou Barris","Torre Baró",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427792.49","4583490.526","427700.583","4583289.581","2.135114","41.397895","FGC (L6) - LA BONANOVA-",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K004","Transports i serveis relacionats","Tren a l'aeroport","432140.399","4584741.446","432048.452","4584540.488","2.18698","41.409541","Tren AEROPORT - CLOT-",10,65,"Sant Martí","el Clot",,
"K002","Transports i serveis relacionats","Ferrocarrils Generalitat (FGC)","426420.871","4583563.017","426328.977","4583362.072","2.118699","41.398423","FGC - REINA ELISENDA (Sortida J. V. Foix)-",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K011","Transports i serveis relacionats","Tramvia","427776.273","4585226.79","427684.367","4585025.829","2.134712","41.413531","TRAMVIA BLAU - AV. TIBIDABO (Romà Macaya-Dr. Ribas Perdigó)-",5,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova",,
"K011","Transports i serveis relacionats","Tramvia","435009.866","4585692.192","434917.893","4585491.224","2.221206","41.418341","TRAMVIA (T6) - LA MINA-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429449.174","4581427.433","429357.251","4581226.506","2.15517","41.379461","METRO (L1) - ROCAFORT (Gv. Corts Catalanes)-",2,10,"Eixample","Sant Antoni",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432174.125","4585538.306","432082.178","4585337.341","2.187294","41.416721","METRO (L1) - NAVAS (Av. Meridiana)-",9,63,"Sant Andreu","Navas",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429389.125","4581393.415","429297.203","4581192.489","2.154456","41.379149","METRO (L1) - ROCAFORT-",2,9,"Eixample","la Nova Esquerra de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430005.615","4587007.007","429913.689","4586806.029","2.161178","41.429762","METRO (L5) - HORTA-",7,43,"Horta-Guinardó","Horta",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","434107.639","4586987.62","434015.675","4586786.641","2.21027","41.429935","METRO (L2) - VERNEDA-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430672.23","4582135.65","430580.296","4581934.717","2.169714","41.385946","METRO (L3) - CATALUNYA (Pl. Catalunya)-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427406.489","4581977.5","427314.585","4581776.569","2.130678","41.384233","METRO (L3) - LES CORTS (Travessera de les Corts)-",4,19,"Les Corts","les Corts",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","429910.136","4583232.077","429818.209","4583031.134","2.160473","41.395755","METRO (L3) - DIAGONAL-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","426337.637","4582174","426245.743","4581973.067","2.117872","41.385906","METRO (L3) - PALAU REIAL-",4,20,"Les Corts","la Maternitat i Sant Ramon",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430725.205","4582172.874","430633.271","4581971.94","2.170344","41.386286","METRO (L3) - CATALUNYA-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","425065.414","4579175.201","424973.531","4578974.297","2.103029","41.358779","METRO (L1) - AVINGUDA CARRILET-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428912.089","4580979.554","428820.171","4580778.632","2.148801","41.37538","METRO (L1) - ESPANYA-",3,11,"Sants-Montjuïc","el Poble-sec",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428554.333","4580980.46","428462.418","4580779.538","2.144523","41.375356","METRO (L1) - HOSTAFRANCS (C. de la Creu Coberta)-",3,15,"Sants-Montjuïc","Hostafrancs",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428464.386","4581003.148","428372.472","4580802.226","2.143445","41.375552","METRO (L1) - HOSTAFRANCS (C. del Consell de Cent)-",3,15,"Sants-Montjuïc","Hostafrancs",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428440.55","4583604.062","428348.637","4583403.116","2.142852","41.398976","FGC (L6) - MUNTANER-",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","427363.016","4579441.732","427271.112","4579240.824","2.130463","41.361391","FGC (L8) - ILDEFONS CERDÀ-",,,,,,
"K003","Transports i serveis relacionats","RENFE","432115.901","4586339.891","432023.955","4586138.918","2.186507","41.423935","RENFE - LA SAGRERA - MERIDIANA-",9,61,"Sant Andreu","la Sagrera",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","422500.444","4571463.34","422408.583","4571262.508","2.073353","41.28908","METRO (L9 sud) - TERMINAL SUD-",,,,,,
"K008","Transports i serveis relacionats","Estació marítima","431582.866","4580677.327","431490.923","4580476.407","2.180769","41.372889","Estació Marítima BUQUEBÚS-",,,,,,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","428997.151","4580882.468","428905.232","4580681.547","2.149829","41.374513","METRO (L3) - ESPANYA (Av. de la Reina Maria Cristina)-",3,11,"Sants-Montjuïc","el Poble-sec",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","432597.448","4582361.8","432505.496","4582160.864","2.192713","41.388147","METRO (L4) - CIUTADELLA - VILA OLIMPICA-",10,67,"Sant Martí","la Vila Olímpica del Poblenou",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430514.067","4582549.952","430422.135","4582349.015","2.167775","41.389664","METRO (L4) - PASSEIG DE GRÀCIA (Pg. de Gràcia)-",2,7,"Eixample","la Dreta de l'Eixample",,
"K011","Transports i serveis relacionats","Tramvia","422486.628","4579426.234","422394.769","4579225.328","2.072171","41.360796","TRAMVIA (T1,T2) - IGNASI IGLÉSIAS-",,,,,,
"K011","Transports i serveis relacionats","Tramvia","434021.534","4585878.64","433929.57","4585677.671","2.209361","41.41994","TRAMVIA (T5, T6) - BESÒS-",10,70,"Sant Martí","el Besòs i el Maresme",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","430446.512","4582134.85","430354.58","4581933.917","2.167015","41.385919","FGC (L6,L7) - CATALUNYA (C. de Balmes)-",2,7,"Eixample","la Dreta de l'Eixample",,
"K001","Transports i serveis relacionats","Metro i línies urbanes FGC","426908.772","4583660.942","426816.873","4583459.995","2.124523","41.39935","FGC (L6) - SARRIÀ-",5,23,"Sarrià-Sant Gervasi","Sarrià",,
